Scientific name;Common name;N;EPP;Nbr;EPbr;Lat;Long;Habitat;Remarks;Ref
Acanthiza pusilla;brown thornbill;178;6.2;67;11.9;-35.27;149.1;1,8,6,7,9;;-2
Accipiter cooperii;Cooper?s hawk;140;19.3;44;34.1;44.97;-90.05;-;;-3
Acrocephalus arundinaceus;great reed warbler;194;9.8;48;10.4;49.67;10.85;11;;-4
Acrocephalus arundinaceus;great reed warbler;678;3.4;-;-;59.17;15.42;11;;-5
Acrocephalus arundinaceus;great reed warbler;-;-;272;6.6;59.17;15.42;11;;-6
Acrocephalus bistrigiceps;black-browed reed-warbler;140;6.4;37;13.5;36.87;139.05;11,12;;-7
Acrocephalus palustris;marsh warbler;131;3.1;33;9.1;50.37;10.75;6,7,11,12,9;;-8
Acrocephalus schoenobaenus;sedge warbler;201;7.5;44;22.7;59.17;15.42;12;;-9
Acrocephalus schoenobaenus;sedge warbler;403;8.4;85;18.8;51.45;-0.55;12;;-10
Acrocephalus scirpaceus;Eurasian reed-warbler;186;6.5;52;15.4;52.3;0.3;11,12;;-11
Actitis hypoleucos;common sandpiper;83;15.7;27;18.5;54.75;-3.02;-;;-12
Actitis hypoleucos;common sandpiper;53;7.5;15;20;57.78;12.32;-;;-13
Aegolius funereus;boreal owl;109;0;32;0;37.8Ä;-107.8Ä;-;Sampled over large geographic range;-14
;;;;;;64.9;-147.7;;;
Agelaius phoeniceus;red-winged blackbird;125;25.6;40;50;42.4;-85.4;12,9;;-15
Agelaius phoeniceus;red-winged blackbird;87;26.4;27;48.1;41.55;-80.18;12,9;;-15
Agelaius phoeniceus;red-winged blackbird;56;28.6;20;50;26.53;-78.53;12,9;;-15
Agelaius phoeniceus;red-winged blackbird;235;24.7;68;41.2;42.5;-76.47;12,9;;-16
Agelaius phoeniceus;red-winged blackbird;617;25.6;203;-;44.52;-76.37;12,9;;-17
Agelaius phoeniceus;red-winged blackbird;403;33.7;134;53.7;46.88;-119.25;12,9;;-18
Agelaius xanthomus;yellow-shouldered blackbird;87;23;30;36.7;17.93;-67.1;1,6,8;;-19
Alauda arvensis;skylark;171;20.5;52;26.9;51.17;-4.63;10,4,12,9;;-20
Alle alle;little auk;26;0;26;0;77;15.37;-;;-21
Alle alle;little auk;62;3.2;64;3.1;77;15.55;-;;-22
Ammodramus maritimus;seaside sparrow;47;10.6;18;16.7;32.77;-79.98;12;;-23
Anas platyrhynchos;mallard;204;9.3;25;48;49.15;14.72;-;Also 10% offspring were CBP;-24
Anas strepera;gadwalls;261;4.2;29;27.6;48.62;-99.08;-;;-25
Anthus spinoletta;water pipit;1052;5.2;258;12.4;46.78;9.85;4,14;;-26
Apus apus;common swift;88;4.5;42;9.5;51.75;-1.25;-;;-27
Aquila heliaca;Eastern imperial eagle;166;0;86;0;53.48;63.62;-;;-28
Ardea alba;great egret;50;0;25;0;-16.43Ä;-51.38Ä;-;Sibship analyses, sampled over large geographic range;-29
;;;;;;-30.27;-56.58;;;
Asio otus;long-eared owl;59;0;12;0;46.88;-114.12;-;;-30
Athene cunicularia;burrowing owl;121;1.7;68;1.5;-38.72;-62.27;-;Also IBP;-31
Athene noctua;little owl;53;0;16;0;51.27;6.37;-;;-32
Baeolophus bicolor;tufted titmouse;34;8.8;9;22.2;40;-82.88;1,9;;-33
Bartramia longicauda;upland sandpiper;177;18.1;56;30;39.08;-96.58;-;;-34
Branta bernicla;black brant;374;5.6;-;-;61.25;-165.58;-;;-35
Branta canadensis;Canada geese;-;-;42;14.3;43;-84;-;;-36
Branta leucopsis;barnacle goose;16;0;9;0;78.92;11.9;-;;-37
Branta leucopsis;barnacle goose;137;0;63;0;57.28;18.75;-;;-38
Buteo ridgwayi;Ridgway?s hawk;79;0;41;0;19;-70;-;;-39
Buteo swainsoni;Swainson?s hawk;56;5.4;27;7.4;41.82;-122;-;;-40
Calamospiza melanocorys;lark bunting;455;25.1;153;52.3;41.35;-104.08;4,6,9;;(41, 42)
Calidris alba;sanderling;342;2;48;6.2;74.5;-21;-;;-43
Calidris maritima;purple sandpiper;82;1.2;27;3.7;78.22;15.58;-;;-44
Calidris mauri;western sandpiper;61;6.6;25;8;64.33;-164.93;-;;-13
Callipepla squamata;scaled quail;-;-;22;9.1;36;-100;-;;-45
Calonectris diomedea;Cory?s shearwater;69;11.6;44;18.2;36.92;-25.17;-;;-46
Calonectris diomedea;Cory?s shearwater;34;0;22;0;42;9;-;;-47
Calonectris diomedea;Cory?s shearwater;46;0;29;0;35;24;-;;-48
Cardinalis cardinalis;Northern cardinal;37;13.5;19;15.8;37.65;-84.12;1,8,6;;-49
Carduelis cannabina;Eurasian linnet;106;3.8;22;9.1;56.5;10.83;3,9,10;;-50
Carduelis tristis;American goldfinch;70;14.3;15;26.7;43.53;-80.23;1,9;;-51
Carpodacus erythrinus;scarlet rosefinch;496;16.1;116;26.7;48.82;13.93;1,8,6,11,9;;-52
Carpodacus mexicanus;house finch;212;9;59;15.3;46.85;-114.02;1,6,9;;-53
Carpodacus mexicanus;house finch;119;8.4;35;14.3;42.27;-83.73;1,6,9;;-54
Catharacta lonnbergi;brown skua;45;0;16;0;-43.8;-176.5;-;;-55
Catharacta maccormicki;south polar skua;14;7.1;13;7.7;-77.52;167.77;-;;-56
Centropus phasianinus;pheasant coucal;59;18.6;21;47.6;-12.43;131;-;Cuckoo, but duetting and exclusive territoriality so they are monogamous;-57
Cepphus grylle;black guillemot;46;0;32;0;67.43;11.88;-;;-58
Cercomacra tyrannina;dusky antbird;15;0;9;0;9.12;-79.7;7,8;;-59
Charadrius alexandrinus;Kentish plover;46;0;19;0;38.4;-26.96;-;;-60
Charadrius alexandrinus;Kentish plover;120;0.8;63;1.6;15.9;-23.98;-;;-60
Charadrius alexandrinus;Kentish plover;184;1.6;73;4.1;36.72;35.05;-;;-60
Charadrius alexandrinus;Kentish plover;19;0;12;0;16.8;41.88;-;;-60
Charadrius alexandrinus;Kentish plover;57;0;28;0;24.27;54.6;-;;-60
Charadrius falklandicus;two-banded plover;15;0;6;0;-52.43;-59.08;-;;-60
Charadrius hiaticula;ringed plover;50;0;18;0;57.13;12.21;-;;-61
Charadrius marginatus;white-fronted plover;17;0;10;0;-24.05;43.73;-;;-60
Charadrius modestus;rufous-chested dotterel;14;0;8;0;-52.43;-59.08;-;;-60
Charadrius nivosus;snowy plover;201;0;93;0;20;-100;-;;-60
Charadrius pecuarius;Kittlitz?s plover;18;0;15;0;-22.03;43.65;-;;-60
Charadrius ruficapillus;red-capped plover;7;0;4;0;-37.88;144.78;-;;-60
Charadrius semipalmatus;semipalmated plover;85;4.7;24;4.2;58.75;-95.07;-;;-62
Charadrius thoracicus;Madagascar plover;20;0;12;0;-20;46;-;;-60
Chen caerulescens;lesser snow goose;80;5;23;13;67.23;-100.27;-;;-63
Chen rossii;Ross?s goose;83;2.4;24;8.3;67.23;-100.27;-;;-63
Chlidonias hybrida;whiskered tern;37;8.1;17;11.8;51.73;18.63;-;Difficult to extract sample sizes;-64
Chlidonias niger;North American black tern;28;0;11;0;43.45;-88.92;-;;-65
Ciconia ciconia;white stork;-;-;145;26.9;44;5;-;Sibship analyses;-66
Cinclus cinclus;white-throated dipper;185;1.6;40;5;60.38;10.52;1,8,10;;-67
Circus pygargus;Montagu?s harrier;32;3.1;10;10;52;22;-;Sibship analyses ;-68
Colaptes auratus;northern flicker;326;0;46;0;51.87;-122.03;-;;-69
Colinus virginianus;Northern bobwhite;-;-;34;85.3;36;-100;-;;-45
Coracias garrulus;European roller;169;5.3;49;4.1;37.3;-3.18;-;Difficcult to extract sample sizes;-70
Coragyps atratus;black vulture;36;0;16;0;35.75;-78.92;-;;-71
Corvus monedula;Eurasian jackdaw;39;2.6;15;6.7;50.92;11.57;1,3,10,9;;-72
Corvus monedula;Eurasian jackdaw;74;0;20;0;52.63;-1.13;1,3,10,9;;-73
Cyanocitta stelleri;Steller?s jay;79;15.2;41;14.6;40.98;-124;1,8,9;;-74
Cyanoliseus patagonus;burrowing parakeet;166;0;49;0;-41.05;-62.8;-;;-75
Cygnus atratus;black swan;332;15.1;85;37.6;-37.55;14.82;-;;-76
Delichon urbicum;house martin;135;18.5;39;33.3;56.1;-3.93;3,9,16;;-77
Delichon urbicum;house martin;73;19.2;20;35;61.42;8.87;3,9,16;;-78
Dendrocopos major;great spotted woodpecker;161;0;36;0;48.22;16.27;-;;-79
Dendrocopos medius;middle spotted woodpecker;61;0;13;0;48.22;16.27;-;;-79
Dendroica caerulescens;black-throated blue warbler;285;20.7;80;31.2;43.93;-71.75;8;;-80
Dendroica caerulescens;black-throated blue warbler;125;27.2;38;44.7;43.93;-71.75;8;;-81
Dendroica pensylvanica;chestnut-sided warbler;95;47.4;33;60.6;42.67;-73.05;1,6,8;;-82
Dendroica petechia;yellow warbler;150;30.7;57;49.1;37.6;-118.82;1,6,9;;-83
Dendroica petechia;yellow warbler;53;13.2;12;25;58.67;-94.42;1,6,9;;-84
Dendroica petechia;yellow warbler;484;33.1;130;53.8;44.57;-76.33;1,6,9;;-85
Diomedea exulans;wandering albatross;104;13.5;147;10.9;-54;-38;-;;-86
Diomedea exulans;wandering albatross;247;18.2;194;20.1;-46.87;37.68;-;;-87
Diomedea exulans;wandering albatross;50;12;50;12;-46.42;51.75;-;;-88
Diomedea exulans;wandering albatross;24;8.3;24;8.3;-49.25;69.53;-;;-88
Dumetella carolinensis;grey catbird;455;13;165;24.8;39;-76;7,9;;-89
Elaenia chiriquensis;lesser elaenia;38;36.8;15;66.7;9.12;-79.68;1,3,9;;-90
Elaenia flavogaster;yellow-bellied elaenia;24;4.2;13;7.7;9.12;-79.68;1,2,3,6;;-90
Emberiza citrinella;yellowhammer;123;37.4;32;68.8;59.9;17.53;1,6,10,9;;-91
Emberiza schoeniclus;reed bunting;216;54.6;58;86.2;52.13;-1.13;12;;-92
Emberiza schoeniclus;reed bunting;473;51;121;73.6;51.75;4.75;12;;-93
Emberiza schoeniclus;reed bunting;835;37.7;213;62.9;46.9;6.93;12;;-94
Emberiza schoeniclus;reed bunting;669;37.1;181;56.4;47;8;12;;-95
Emberiza schoeniclus;reed bunting;332;29.5;72;54.2;61.42;8.87;12;;-96
Empidonax minimus;least flycatcher;86;34.9;23;56.5;44.57;-76.32;6,8;;-97
Empidonax traillii;willow flycatcher;140;14.3;56;21.4;35.65;-118.03;3,6;;-98
Empidonax virescens;acadian flycatcher;28;57.1;14;64.3;41.77;-79.93;8;;-99
Empidonax virescens;acadian flycatcher;29;13.8;12;25;42.72;-81.1;8;;-100
Empidonax virescens;acadian flycatcher;133;40.6;53;58.5;41.77;-79.93;8;;-101
Erythrura gouldiae;gouldian finch;232;8.6;57;22.8;-15.57;128;1;;-102
Eudromias morinellus;Eurasian dotterel;44;4.5;22;9.1;57.05;-3.57;-;;-103
Eudyptes pachyrhynchus;Fiordland penguin;33;0;24;0;-43.83;168.88;-;;-104
Eudyptes schlegeli;royal penguin;26;3.8;13;7.7;-54.5;158.95;-;;-105
Euplectes orix;red bishop;115;39.1;47;63.8;-33.43;25.75;4;;-106
Euplectes orix;red bishop;432;17.6;187;30.5;-33.43;25.75;4;;-107
Falco columbarius;merlin;47;0;18;0;52.12;-106.63;-;;-108
Falco eleonorae;Eleonoras falcon;60;0;17;0;38;24.98;-;;-109
Falco naumanni;lesser kestrel;24;4.2;8;12.5;37.17;-6.35;-;;-110
Falco naumanni;lesser kestrel;72;8.3;23;8.7;41.35;-0.18;-;;-110
Falco peregrinus;peregrine falcon;64;0;18;0;-;-;-;;-111
Falco sparverius;American kestrel;89;11.2;21;9.5;42.42;-75.08;-;;-112
Falco tinnunculus;Eurasian kestrel;319;1.9;75;2.7;62.98;22.83;-;;-113
Ficedula albicollis;collared flycatcher;800;26.8;135;57;49.53;17.07;1,3,8,9;;-114
Ficedula albicollis;collared flycatcher;459;15.5;79;32.9;57.17;18.33;1,3,8,9;;-115
Ficedula albicollis;collared flycatcher;165;24.2;27;51.9;49.53;17.07;1,3,8,9;;-116
Ficedula albicollis;collared flycatcher;-;-;45;55.6;47.7;19.02;1,3,8,9;;-117
Ficedula albicollis;collared flycatcher;-;-;44;13.6;49.83Ä;17.25?Ä;1,3,8,9;Combined estimate for two populations;-118
;;;;;;57.17;18.2;;;
Ficedula albicollis;collared flycatcher;482;15.6;78;34.6;50.1;20.4;1,3,8,9;;-119
Ficedula hypoleuca;pied flycatcher;268;13.1;59;28.8;40.8;-4.02;1,8,9;;-120
Ficedula hypoleuca;pied flycatcher;884;5.1;164;12.8;52.45;7.25;1,8,9;;-121
Ficedula hypoleuca;pied flycatcher;135;4.4;27;14.8;59.98;10.63;1,8,9;;-122
Ficedula hypoleuca;pied flycatcher;165;5.5;31;12.9;52.53;7.35;1,8,9;;-123
Ficedula hypoleuca;pied flycatcher;1126;15.2;233;33;41.07;-3.45;1,8,9;;-124
Ficedula hypoleuca;pied flycatcher;857;4.4;191;13.1;60.42;22.17;1,8,9;;-125
Ficedula hypoleuca;pied flycatcher;53;1.9;9;11.1;59.97;10.78;1,8,9;Control dataset;-126
Ficedula hypoleuca;pied flycatcher;38;23.7;7;42.9;59.83;17.67;1,8,9;;-127
Ficedula hypoleuca;pied flycatcher;348;7.5;58;22.4;40.8;-4.02;1,8,9;;-128
Ficedula hypoleuca;pied flycatcher;313;17.6;60;38.3;40.8;-4.02;1,8,9;;-129
Ficedula hypoleuca;pied flycatcher;223;10.8;36;22.2;62.62;26.33;1,8,9;;-130
Ficedula hypoleuca;pied flycatcher;-;-;20;5;62.62;26.33;1,8,9;Control dataset;-131
Ficedula hypoleuca;pied flycatcher;481;8.9;93;19.4;52.03;5.85;1,8,9;;-132
Ficedula parva;red-breasted flycatcher;159;7.5;33;24.2;52.68;23.87;1,8,9;;-133
Ficedula zanthopygia;yellow rumped flycatcher;325;22.2;64;54.7;45;126;8;;-134
Fratercula arctica;Atlantic puffin;38;0;38;0;67.43;11.88;-;;-135
Fregata minor;great frigatebird;92;1.1;92;1.1;23.75;-166.02;-;;-136
Fregata minor;great frigatebird;46;8.7;46;8.7;23.75;-166.02;-;;-137
Fringilla coelebs;chaffinch;47;17;13;23.1;53.33;-1.53;1,8,9;;-138
Fulmarus glacialis;Northern fulmar;28;0;28;0;59.53;-1.62;-;;-139
Gallinula chloropus;moorhen;68;0;13;0;52.63;-0.27;-;;-140
Gavia immer;common loon;58;0;47;0;45.7;-89.62;-;;-141
Geospiza fortis;medium ground-finch;1248;17.1;-;-;-0.42;-90.37;6,8;;-142
Geospiza scandens;cactus finch;368;10.3;-;-;-0.42;-90.37;15;;-142
Geothlypis trichas;yellowthroat;486;19.1;138;43.5;43.38;-88.02;7,12;;-143
Grallina cyanoleuca;Australian magpie-lark;103;2.9;47;6.4;-35.27;149.12;3,9;;-144
Grus canadensis;sandhill crane;45;11.1;18;22.2;43.6;-89.6;-;;-145
Gyps fulvus;griffon vulture;30;0;-;-;44.27;5.27;-;;-146
Gyps fulvus;griffon vulture;10;0;-;-;43.77;6.37;-;;-146
Habia fuscicauda;red-throated ant-tanager;41;41.5;19;52.6;9.08;-79.65;6,8;;-147
Haematopus ostralegus;Eurasian oystercatcher;65;1.5;26;3.8;53.48;6.22;-;;-148
Hirundo ariel;fairy martin;203;13.8;70;20;-37.8;144.95;1,3,4;;-149
Hirundo rustica;barn swallow;214;28.5;52;51.9;45.43;8.62;3,4,9;;-150
Hirundo rustica;barn swallow;603;31.2;139;-;44.47;-76.47;3,4,9;;-151
Hirundo rustica;barn swallow;917;28.8;210;48.1;44.57;-76.32;3,4,9;;-152
Hirundo rustica;barn swallow;261;28;63;33.3;57.2;10;3,4,9;;-153
Hirundo rustica;barn swallow;108;23.1;25;60;49.07;14.73;3,4,9;;-154
Hirundo rustica;barn swallow;80;30;18;50;50.5;30.82;3,4,9;;(154, 155)
Hirundo rustica;barn swallow;424;34.2;94;55.3;37.22;-80.42;3,4,9;;-156
Hirundo rustica;barn swallow;296;2.7;65;7.7;37.12;138.02;3,4,9;;-157
Hirundo rustica;barn swallow;143;8.4;33;15.2;35.22;139.88;3,4,9;;-158
Hirundo rustica;barn swallow;158;22.2;38;36.8;35.18;139.92;3,4,9;;-158
Hirundo rustica;barn swallow;674;17.8;170;32.4;38.83;-6.98;3,4,9;;-159
Hirundo rustica;barn swallow;-;-;53;49.1;42.35;-76.5;3,4,9;;-160
Hirundo rustica;barn swallow;-;-;11;45.5;44.55;-76.32;3,4,9;;-161
Hirundo rustica;barn swallow;161;15.5;41;43.9;32.97;35.55;3,4,9;;-162
Hylocichla mustelina;wood thrush;151;6;51;13.7;41.77;-79.93;1,8;;-163
Hylocichla mustelina;wood thrush;112;40.2;36;66.7;43.25;-80.88;1,8;;-100
Hymenolaimus malacorhynchos;blue duck;14;0;10;0;-39.38;175.13;-;;-164
Icteria virens;yellow-breasted chat;13;30.8;55;50.9;49.13Ä 49.49;-117.70Ä;1,6;Sibship analyses, sampled over large geographic range;-165
;;;;;;;-119.6;;;
Icterus galbula;Bullockïs oriole;202;32.2;48;45.8;36.37;-121.55;1,9;;-166
Jabiru mycteria;jabiru;34;2.9;13;7.7;-17;-56;-;;-167
Junco hyemalis;dark-eyed junco;229;26.2;89;-;32.87;-117.02;1,8,9;Population resulted from recent colonization;-168
Junco hyemalis;dark-eyed junco;124;36.3;40;-;32.87;-116.03;1,8,9;;-168
Junco hyemalis;dark-eyed junco;2148;27.2;-;-;37.37;-80.53;1,8,9;;-169
Junco hyemalis;dark-eyed junco;-;-;41;43.9;37.37;-80.53;1,8,9;Control dataset;-170
Jynx torquilla;Eurasian wryneck;292;0.7;50;2;51.9;11;-;;-171
Lagopus lagopus;willow ptarmigan;256;9.4;38;13.2;59.83;-136.33;-;;-172
Lagopus leucura;white-tailed ptarmigan;58;5.2;18;16.7;48.68;-113.72;-;;-173
Laniarius atrococcineus;crimson-breasted shrike;74;18.9;41;29.3;-26.97;21.82;1,2,3;;-174
Lanius bucephalus;bull-headed shrike;99;10.1;24;16.7;34.57;135.53;8,6,9;;-175
Lanius ludovicianus;loggerhead shrike;179;4.5;36;13.9;34;-98;9;;-176
Lanius minor;lesser gray shrike;136;0;36;0;48.58;19.3;1,3,9;;-177
Larus canus;common gull;55;3.6;24;8.3;51.67;21.58;-;;-178
Larus occidentalis;western gull;33;0;22;0;37.7;-123;-;;-179
Larus ridibundus;Black-headed gull;79;20.3;30;33.3;48.92;17.08;-;;-180
Lichenostomus chrysops;yellow-faced honeyeater;18;44.4;-;-;-37.68;145.52;1,3,8;;-181
Locustella luscinioides;Savi?s warbler;392;4.1;102;5.9;40.63;-8.68;11,12;;-182
Loxia curvirostra;common crossbill;96;0;34;0;59.5;11.33;1,8;;-183
Loxioides bailleui;palila;20;0;12;0;19.82;-155.47;8,3;;-184
Luscinia megarhynchos;common nightingale;121;21.5;28;46.4;52.4;12.97;1,3,9;;-185
Luscinia svecica;bluethroat;1568;26.3;245;47.8;62.42;8.87;6,7,3,11,12;Control dataset;-186
Luscinia svecica;bluethroat;183;25.7;33;54.5;62.42;8.87;6,7,3,11,12;;-187
Luscinia svecica;bluethroat;162;42;36;63.9;27.33;-2.42;6,7,3,11,12;;-188
Megascops asio;eastern screech-owl;80;0;23;0;37.62;-84.12;-;;-189
Melospiza georgiana;swamp sparrow;149;20.8;59;44.1;39.6;-79.3;1,12;;-190
Melospiza georgiana;swamp sparrow;201;20.9;54;38.9;39.3;-75.5;1,12;;-190
Melospiza melodia;song sparrow;191;23.6;72;36.1;47.65;-122.03;1,3;;-191
Melospiza melodia;song sparrow;38;10.5;10;30;44.75;-63.68;1,3;;-192
Melospiza melodia;song sparrow;2667;28.2;-;-;48.63;-123.02;1,3;;-193
